timestamp,nom,distance
2026-08-21T14:27:06,falibeta,0.692
2026-08-21T14:27:14,falibeta,0.547
2026-08-21T14:28:10,falibeta,0.703
2026-08-21T14:28:18,falibeta,0.663
2026-08-21T14:28:21,falibeta,0.744
2026-08-21T14:28:29,falibeta,0.692
2026-08-21T14:28:38,falibeta,0.731
2026-08-21T14:28:57,falibeta,0.763
2026-08-21T14:29:06,falibeta,0.736
2026-08-21T14:29:14,falibeta,0.759
2026-08-21T14:29:22,falibeta,0.735
2026-08-21T14:29:31,falibeta,0.711
2026-08-21T14:29:42,falibeta,0.693
2026-08-21T14:29:50,falibeta,0.690
2026-08-21T14:29:56,falibeta,0.700
2026-08-21T14:30:08,falibeta,0.675
2026-08-21T14:30:16,falibeta,0.680
2026-08-21T14:30:24,falibeta,0.692
2026-08-21T14:30:30,falibeta,0.643
2026-08-21T14:30:46,falibeta,0.553
2026-08-21T14:31:13,falibeta,0.651
2026-08-21T14:31:29,falibeta,0.676
2026-08-21T14:31:37,falibeta,0.662
2026-08-21T14:31:46,falibeta,0.735
2026-08-21T14:31:54,falibeta,0.707
2026-08-21T14:32:02,falibeta,0.706
2026-08-21T14:32:10,falibeta,0.665
2026-08-21T14:32:38,falibeta,0.467
2026-08-21T14:33:42,falibeta,0.694
2026-08-21T14:33:53,falibeta,0.541
2026-08-21T14:34:14,falibeta,0.614
2026-08-21T14:34:22,falibeta,0.620
2026-08-21T14:34:31,falibeta,0.603
2026-08-21T14:34:44,falibeta,0.609
2026-08-21T14:34:55,falibeta,0.656
2026-08-21T14:35:25,falibeta,0.716
2026-08-21T14:43:48,falibeta,0.669
2026-08-21T14:43:56,falibeta,0.666
2026-08-21T14:44:06,falibeta,0.663
2026-08-21T14:44:07,tchoupi,0.747
2026-08-21T14:44:13,falibeta,0.734
